Player,Team,Position,GP,MPG,PTS
V. Wembanyama,SAS,C,71,29:39,21.4
N. Jokić,DEN,C,79,34:39,26.4
L. Dončić,DAL,"PG,SG",70,37:29,33.9
S. Gilgeous-Alexander,OKC,PG,75,34:02,30.1
T. Haliburton,IND,"PG,SG",69,32:13,20.1
G. Antetokounmpo,MIL,"PF,C",73,35:09,30.4
J. Embiid,PHI,C,39,33:33,34.7
J. Tatum,BOS,"SF,PF",74,35:44,26.9
A. Davis,LAL,"PF,C",76,35:31,24.7
K. Durant,PHX,"SF,PF",75,37:12,27.1
T. Young,ATL,PG,54,35:57,25.7
S. Curry,GSW,"PG,SG",74,32:43,26.4
D. Mitchell,CLE,"PG,SG",55,35:18,26.6
K. Irving,DAL,"PG,SG",58,35:00,25.6
D. Booker,PHX,"PG,SG",68,35:59,27.1
A. Edwards,MIN,"SG,SF",79,35:03,25.9
D. Sabonis,SAC,C,82,35:42,19.4
J. Harden,LAC,"PG,SG",72,34:18,16.6
L. Ball,CHA,"PG,SG",22,32:19,23.9
S. Barnes,TOR,"SG,SF,PF",60,34:54,19.9
J. Brunson,NYK,PG,77,35:24,28.7
C. Holmgren,OKC,"PF,C",82,29:25,16.5
D. Lillard,MIL,PG,73,35:19,24.3
P. George,PHI,"SG,SF,PF",74,33:48,22.6
D. Fox,SAC,PG,74,35:55,26.6
